⇢ Launching: python train_model.py --data-dir /home/sbk29/data/AR/train --epochs 50 --vars TMQ --label-dir /home/sbk29/data/github_AR/AR_detection/u_net/ds_results
Epoch 00 | train 4.4348 | val 3.4210 | val-Dice 0.1074
Epoch 01 | train 3.5104 | val 2.6671 | val-Dice 0.1207
Epoch 02 | train 2.5577 | val 2.3290 | val-Dice 0.1418
Epoch 03 | train 2.4925 | val 2.4560 | val-Dice 0.1433
Epoch 04 | train 2.3135 | val 2.3824 | val-Dice 0.1294
Epoch 05 | train 2.1367 | val 1.8105 | val-Dice 0.1704
Epoch 06 | train 1.9821 | val 1.9826 | val-Dice 0.1619
Epoch 07 | train 1.8031 | val 1.7191 | val-Dice 0.1731
Epoch 08 | train 1.6947 | val 1.6810 | val-Dice 0.1995
Epoch 09 | train 1.5900 | val 1.5057 | val-Dice 0.1807
Epoch 10 | train 1.5111 | val 1.4653 | val-Dice 0.1633
Epoch 11 | train 1.4386 | val 1.5660 | val-Dice 0.2117
Epoch 12 | train 1.3662 | val 1.3899 | val-Dice 0.2188
Epoch 13 | train 1.3209 | val 1.4014 | val-Dice 0.1823
Epoch 14 | train 1.3039 | val 1.3009 | val-Dice 0.2202
Epoch 15 | train 1.2579 | val 1.2440 | val-Dice 0.2407
Epoch 16 | train 1.2140 | val 1.2030 | val-Dice 0.2566
Epoch 17 | train 1.1969 | val 1.1973 | val-Dice 0.2626
Epoch 18 | train 1.1802 | val 1.1693 | val-Dice 0.2113
Epoch 19 | train 1.1762 | val 1.1577 | val-Dice 0.2300
Epoch 20 | train 1.1374 | val 1.1578 | val-Dice 0.2471
Epoch 21 | train 1.1195 | val 1.1220 | val-Dice 0.2942
Epoch 22 | train 1.0978 | val 1.1374 | val-Dice 0.3198
Epoch 23 | train 1.0752 | val 1.1024 | val-Dice 0.3060
Epoch 24 | train 1.0697 | val 1.1352 | val-Dice 0.3267
Epoch 25 | train 1.0510 | val 1.0819 | val-Dice 0.2792
Epoch 26 | train 1.0387 | val 1.0936 | val-Dice 0.3123
Epoch 27 | train 1.0344 | val 1.0807 | val-Dice 0.3166
Epoch 28 | train 1.0012 | val 1.0505 | val-Dice 0.3392
Epoch 29 | train 0.9857 | val 1.0357 | val-Dice 0.3388
Epoch 30 | train 0.9828 | val 1.0780 | val-Dice 0.2846
Epoch 31 | train 0.9652 | val 1.0465 | val-Dice 0.3197
Epoch 32 | train 0.9520 | val 1.0433 | val-Dice 0.3402
Epoch 33 | train 0.9513 | val 1.0797 | val-Dice 0.2626
Epoch 34 | train 0.9197 | val 1.0498 | val-Dice 0.3774
Epoch 35 | train 0.9149 | val 1.0069 | val-Dice 0.3738
Epoch 36 | train 0.8885 | val 1.0400 | val-Dice 0.4052
Epoch 37 | train 0.8683 | val 1.0178 | val-Dice 0.4118
Epoch 38 | train 0.8756 | val 1.0143 | val-Dice 0.3877
Epoch 39 | train 0.8689 | val 1.1908 | val-Dice 0.4172
Epoch 40 | train 0.8599 | val 1.0108 | val-Dice 0.3992
Epoch 41 | train 0.8118 | val 1.0574 | val-Dice 0.4542
Epoch 42 | train 0.8222 | val 1.0708 | val-Dice 0.4230
Epoch 43 | train 0.8085 | val 1.0567 | val-Dice 0.4469
Epoch 44 | train 0.8004 | val 1.0742 | val-Dice 0.4611
Epoch 45 | train 0.7672 | val 1.0097 | val-Dice 0.4457
Epoch 46 | train 0.7495 | val 1.1342 | val-Dice 0.4682
Epoch 47 | train 0.7297 | val 1.0900 | val-Dice 0.4748
Epoch 48 | train 0.7067 | val 1.0059 | val-Dice 0.4406
Epoch 49 | train 0.7113 | val 0.9662 | val-Dice 0.4498
