✅ Image 0 done, mean posterior=0.060
✅ Image 1 done, mean posterior=0.089
✅ Image 5 done, mean posterior=0.042
✅ Image 11 done, mean posterior=0.040
✅ Image 3 done, mean posterior=0.040
✅ Image 15 done, mean posterior=0.053
✅ Image 7 done, mean posterior=0.080
✅ Image 9 done, mean posterior=0.047
✅ Image 14 done, mean posterior=0.069
✅ Image 4 done, mean posterior=0.064
✅ Image 12 done, mean posterior=0.036
✅ Image 13 done, mean posterior=0.048
✅ Image 6 done, mean posterior=0.060
✅ Image 8 done, mean posterior=0.088
✅ Image 2 done, mean posterior=0.075
✅ Image 10 done, mean posterior=0.072
